2011-03-30	1240
2011-04-07	344
2011-04-16	740
2011-05-03	888
2011-05-11	1260
2011-05-17	666
2011-05-19	1256
2011-05-28	1207
2011-06-02	1351
2011-06-08	1029
2011-06-18	1787
2011-06-21	1294
2011-06-25	1288
2011-07-02	1097
2011-07-13	931
2011-07-26	1081
2011-08-09	1015
2011-08-20	972
2011-08-30	926
2011-09-10	1012
2011-09-14	1443
2011-09-19	1257
2011-10-04	1228
2011-10-13	793
2011-10-25	1154
2011-11-12	1136
2011-11-29	1700
2011-12-06	1457
2012-01-14	829
2012-01-19	1387
2012-01-31	1245
2012-02-09	1726
2012-02-23	1184
2012-03-07	1734
2012-03-31	1158
2012-04-11	1344
2012-04-14	1183
2012-04-23	1655
2012-05-08	1606
2012-05-29	1708
2012-06-07	1180
2012-06-25	1555
2012-08-22	1113
2012-09-07	1508
2012-10-19	1258
2012-10-30	1240
2012-12-12	1299
2013-01-12	1638
2013-01-21	1535
2013-01-29	1020
2013-02-06	1762
2013-02-13	750
2013-02-19	1299
2013-02-23	1496
2013-03-06	1506
2013-03-14	1538
2013-03-25	1645
2013-03-31	1996
2013-04-06	1142
2013-04-11	943
2013-04-20	1374
2013-04-26	1224
2013-05-02	1158
2013-05-11	1294
2013-05-18	1881
2013-05-25	1275
2013-06-03	1115
2013-06-14	1407
2013-06-18	1023
2013-07-10	1811
2013-08-27	1467
2013-10-24	1396
2013-11-20	1610
2013-11-28	1084
2013-12-14	1497
2014-01-21	1520
2014-01-29	1608
2014-02-03	1740
2014-02-25	979
2014-03-04	1237
2014-03-11	1453
2014-03-29	1251
2014-04-04	1992
2014-04-10	1968
2014-04-12	1766
2014-04-21	1851
2014-04-24	1414
2014-05-05	2041
2014-05-17	1856
2014-06-07	1584
2014-07-05	1212
2014-09-25	1519
2014-10-14	1123
2014-11-02	1346
2014-12-16	1870
2015-02-17	891
2015-03-25	1882
2015-04-11	941
2015-04-17	1161
2015-04-25	1437
2015-07-09	1738
2015-08-25	1843
2015-09-15	1298
2015-09-28	1285
